name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Carroll Baker,Unknown,3,Donald Burton,29,False,Unknown
Alec Baldwin,Unknown,1,Kim Basinger,9,False,Unknown
Alec Baldwin,Unknown,2,Hilaria Baldwin,9,True,Unknown
Christian Bale,Unknown,1,Sibi Blažić,21,True,Unknown
Antonio Banderas,Unknown,1,Ana Leza,9,False,Unknown
Antonio Banderas,Unknown,2,Melanie Griffith,19,False,Unknown
Javier Bardem,Unknown,1,Penélope Cruz,11,True,Unknown
Sacha Baron Cohen,Unknown,1,Isla Fisher,11,True,Unknown
Marie-Christine Barrault,Unknown,1,Daniel Toscan du Plantier,0,False,Unknown
Marie-Christine Barrault,Unknown,2,Roger Vadim,10,False,Unknown
Adriana Barraza,Unknown,1,Carlos Valsagna,7,False,Unknown
Adriana Barraza,Unknown,2,Arnaldo Pipke,16,True,Unknown
Barbara Barrie,Unknown,1,Jay Harnick,43,False,Unknown
Mikhail Baryshnikov,Unknown,1,Lisa Rinehart,15,True,Unknown
Kim Basinger,Unknown,1,Ron Snyder,9,False,Unknown
Kim Basinger,Unknown,2,Alec Baldwin,9,False,Unknown
Angela Bassett,Unknown,1,Courtney B. Vance,24,True,Unknown
Kathy Bates,Unknown,1,Tony Campisi,6,False,Unknown
Warren Beatty,Unknown,1,Annette Bening,29,True,Unknown
Roberto Benigni,Unknown,1,Nicoletta Braschi,30,True,Unknown
Annette Bening,Unknown,1,J. Steven White,7,False,Unknown
Annette Bening,Unknown,2,Warren Beatty,29,True,Unknown
Tom Berenger,Unknown,1,Barbara Wilson,8,False,Unknown
Tom Berenger,Unknown,2,Lisa Williams,11,False,Unknown
Tom Berenger,Unknown,3,Patricia Alvaran,13,False,Unknown
Tom Berenger,Unknown,4,Laura Moretti,9,True,Unknown
Candice Bergen,Unknown,1,Louis Malle,15,False,Unknown
Candice Bergen,Unknown,2,Marshall Rose,21,True,Unknown
Demián Bichir,Unknown,1,Lisset,2,False,Unknown
Ronee Blakley,Unknown,1,Wim Wenders,2,False,Unknown
Cate Blanchett,Unknown,1,Andrew Upton,24,True,Unknown
Brenda Blethyn,Unknown,1,Alan Blethyn,9,False,Unknown
Brenda Blethyn,Unknown,2,Michael Mayhew,11,True,Unknown
Mary J. Blige,Unknown,1,"Martin ""Kendu"" Isaacs",15,False,Unknown
Ann Blyth,Unknown,1,James McNulty,54,False,Unknown
Lorraine Bracco,Unknown,1,Daniel Guerard,3,False,Unknown
Lorraine Bracco,Unknown,2,Edward James Olmos,8,False,Unknown
Kenneth Branagh,Unknown,1,Emma Thompson,6,False,Unknown
Kenneth Branagh,Unknown,2,Lindsay Brunnock,18,True,Unknown
Jeff Bridges,Unknown,1,Susan Geston,44,True,Unknown
Jim Broadbent,Unknown,1,Anastasia Lewis,34,True,Unknown
Josh Brolin,Unknown,1,Alice Adair,6,False,Unknown
Josh Brolin,Unknown,2,Diane Lane,9,False,Unknown
Josh Brolin,Unknown,3,Kathryn Boyd,5,True,Unknown
Albert Brooks,Unknown,1,Kimberly Shlain Brooks,24,True,Unknown
Geneviève Bujold,Unknown,1,Paul Almond,7,False,Unknown
Sandra Bullock,Unknown,1,Jesse James,5,False,Unknown
Ellen Burstyn,Unknown,1,William Alexander,7,False,Unknown
Ellen Burstyn,Unknown,2,Paul Roberts,3,False,Unknown
Ellen Burstyn,Unknown,3,Neil Burstyn,8,False,Unknown
Gary Busey,Unknown,1,Judy Helkenberg,22,False,Unknown
Gary Busey,Unknown,2,Tiani Warden,5,False,Unknown
James Caan,Unknown,1,Dee Jay Mattis,6,False,Unknown
James Caan,Unknown,2,Sheila Marie Ryan,1,False,Unknown
James Caan,Unknown,3,Ingrid Hajek,5,False,Unknown
James Caan,Unknown,4,Linda Stokes,22,False,Unknown
Nicolas Cage,Unknown,1,Patricia Arquette,6,False,Unknown
Nicolas Cage,Unknown,2,Lisa Marie Presley,2,False,Unknown
Nicolas Cage,Unknown,3,Alice Kim,12,False,Unknown
Nicolas Cage,Unknown,4,Erika Koike,0,False,Unknown
Nicolas Cage,Unknown,5,Riko Shibata,0,True,Unknown
Michael Caine,Unknown,1,Patricia Haines,7,False,Unknown
Michael Caine,Unknown,2,Shakira Baksh,48,True,Unknown
